"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"536365","20685","DOORMAT RED RETROSPOT","2","2010-12-16 11:08:00","7.39","14606.0","United Kingdom"
"536366","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","9","2010-12-02 09:13:00","3.65","17850.0","Belgium"
"536367","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2010-12-29 12:51:00","2.87","15311.0","Belgium"
"536367","22752","SET 7 BABUSHKA NESTING BOXES","5","2010-12-29 12:51:00","7.64","15311.0","Belgium"
"536368","22752","SET 7 BABUSHKA NESTING BOXES","10","2010-12-25 09:22:00","7.71","13047.0","Germany"
"536368","85123A","WHITE HANGING HEART T-LIGHT HOLDER","12","2010-12-25 09:22:00","2.73","13047.0","Germany"
"536368","71053","WHITE METAL LANTERN","7","2010-12-25 09:22:00","3.34","13047.0","Germany"
"536369","85099B","JUMBO BAG RED RETROSPOT","4","2010-12-13 09:02:00","2.01","16029.0","Netherlands"
"536369","71053","WHITE METAL LANTERN","4","2010-12-13 09:02:00","3.81","16029.0","Netherlands"
"536369","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2010-12-13 09:02:00","4.42","16029.0","Netherlands"
"536370","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2010-12-23 11:42:00","3.85","17809.0","France"
"536370","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-23 11:42:00","1.92","17809.0","France"
"536370","84406B","CREAM CUPID HEARTS COAT HANGER","9","2010-12-23 11:42:00","3.09","17809.0","France"
"536371","85099B","JUMBO BAG RED RETROSPOT","6","2010-12-18 16:14:00","2.06","14096.0","Australia"
"536371","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2010-12-18 16:14:00","2.94","14096.0","Australia"
"536372","47566","PARTY BUNTING","12","2010-12-05 11:58:00","5.04","14606.0","Belgium"
"536372","85099B","JUMBO BAG RED RETROSPOT","8","2010-12-05 11:58:00","1.79","14606.0","Belgium"
"536372","85099B","JUMBO BAG RED RETROSPOT","8","2010-12-05 11:58:00","1.64","14606.0","Belgium"
"536373","47566","PARTY BUNTING","7","2011-01-04 12:47:00","5.39","15291.0","EIRE"
"536373","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-01-04 12:47:00","4.28","15291.0","EIRE"
"536374","71053","WHITE METAL LANTERN","3","2011-01-18 08:55:00","3.67","13047.0","Australia"
"536374","85099B","JUMBO BAG RED RETROSPOT","7","2011-01-18 08:55:00","1.91","13047.0","Australia"
"536375","22632","HAND WARMER RED POLKA DOT","1","2010-12-30 16:16:00","2.16","16029.0","Belgium"
"536375","71053","WHITE METAL LANTERN","11","2010-12-30 16:16:00","3.82","16029.0","Belgium"
"536375","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2010-12-30 16:16:00","3.49","16029.0","Belgium"
"536375","84029E","RED WOOLLY HOTTIE WHITE HEART","7","2010-12-30 16:16:00","3.38","16029.0","Belgium"
"536376","71053","WHITE METAL LANTERN","11","2011-01-18 10:32:00","3.47","15291.0","Spain"
"536377","22632","HAND WARMER RED POLKA DOT","1","2011-01-18 10:34:00","2.11","17809.0","France"
"536377","22633","HAND WARMER UNION JACK","1","2011-01-18 10:34:00","1.82","17809.0","France"
"536378","47566","PARTY BUNTING","2","2010-12-04 11:56:00","4.9","15311.0","Spain"
"536378","22633","HAND WARMER UNION JACK","2","2010-12-04 11:56:00","2.34","15311.0","Spain"
"536378","22632","HAND WARMER RED POLKA DOT","3","2010-12-04 11:56:00","1.83","15311.0","Spain"
"536379","22632","HAND WARMER RED POLKA DOT","12","2011-01-03 14:13:00","2.16","14606.0","France"
"536379","20685","DOORMAT RED RETROSPOT","5","2011-01-03 14:13:00","7.22","14606.0","France"
"536379","85099B","JUMBO BAG RED RETROSPOT","11","2011-01-03 14:13:00","1.77","14606.0","France"
"536379","22632","HAND WARMER RED POLKA DOT","8","2011-01-03 14:13:00","1.82","14606.0","France"
"536380","47566","PARTY BUNTING","4","2010-12-02 16:14:00","4.85","17809.0","Germany"
"536380","20685","DOORMAT RED RETROSPOT","11","2010-12-02 16:14:00","7.02","17809.0","Germany"
"536381","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2010-12-05 16:15:00","3.58","17809.0","United Kingdom"
"536382","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2011-01-20 15:51:00","4.21","15311.0","Australia"
"536382","85099B","JUMBO BAG RED RETROSPOT","7","2011-01-20 15:51:00","1.76","15311.0","Australia"
"536383","21730","GLASS STAR FROSTED T-LIGHT HOLDER","12","2011-01-13 09:03:00","4.35","17850.0","Australia"
"536383","71053","WHITE METAL LANTERN","4","2011-01-13 09:03:00","3.4","17850.0","Australia"
"536383","22632","HAND WARMER RED POLKA DOT","8","2011-01-13 09:03:00","1.83","17850.0","Australia"
"536383","84406B","CREAM CUPID HEARTS COAT HANGER","5","2011-01-13 09:03:00","2.93","17850.0","Australia"
