"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Region"
"537365","20685","DOORMAT RED RETROSPOT","5","2011-03-10 08:32:00","7.58","16029.0","Germany","EMEA"
"537365","20685","DOORMAT RED RETROSPOT","7","2011-03-10 08:32:00","7.19","16029.0","Germany","EMEA"
"537366","22752","SET 7 BABUSHKA NESTING BOXES","7","2011-04-28 12:02:00","7.87","13047.0","Netherlands","EMEA"
"537366","85099B","JUMBO BAG RED RETROSPOT","6","2011-04-28 12:02:00","1.93","13047.0","Netherlands","EMEA"
"537366","47566","PARTY BUNTING","4","2011-04-28 12:02:00","5.27","13047.0","Netherlands","EMEA"
"537367","84406B","CREAM CUPID HEARTS COAT HANGER","9","2011-04-23 15:23:00","2.92","17850.0","Germany","EMEA"
"537368","22752","SET 7 BABUSHKA NESTING BOXES","8","2011-03-11 10:55:00","8.02","13777.0","Canada","AMER"
"537368","85099B","JUMBO BAG RED RETROSPOT","12","2011-03-11 10:55:00","1.74","13777.0","Canada","AMER"
"537368","84406B","CREAM CUPID HEARTS COAT HANGER","3","2011-03-11 10:55:00","2.85","13777.0","Canada","AMER"
"537369","84406B","CREAM CUPID HEARTS COAT HANGER","6","2011-04-26 10:30:00","2.81","12583.0","Germany","EMEA"
"537370","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2011-04-29 13:40:00","2.86","17809.0","Canada","AMER"
"537370","22633","HAND WARMER UNION JACK","10","2011-04-29 13:40:00","1.94","17809.0","Canada","AMER"
"537371","22633","HAND WARMER UNION JACK","3","2011-04-20 14:30:00","1.89","14606.0","Netherlands","EMEA"
"537372","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2011-04-03 11:36:00","2.64","13777.0","Australia","APAC"
"537372","71053","WHITE METAL LANTERN","7","2011-04-03 11:36:00","3.41","13777.0","Australia","APAC"
"537373","22633","HAND WARMER UNION JACK","10","2011-03-12 14:48:00","2.3","14096.0","Belgium","EMEA"
"537374","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","8","2011-04-23 08:29:00","3.72","16029.0","Canada","AMER"
"537375","22632","HAND WARMER RED POLKA DOT","1","2011-04-01 14:17:00","1.88","13047.0","Canada","AMER"
"537376","85099B","JUMBO BAG RED RETROSPOT","12","2011-03-20 12:01:00","1.66","17809.0","Spain","EMEA"
"537377","85099B","JUMBO BAG RED RETROSPOT","6","2011-03-25 13:01:00","2.0","17809.0","Canada","AMER"
"537378","84406B","CREAM CUPID HEARTS COAT HANGER","3","2011-03-05 12:36:00","2.97","14606.0","USA","AMER"
"537378","22752","SET 7 BABUSHKA NESTING BOXES","12","2011-03-05 12:36:00","7.79","14606.0","USA","AMER"
"537379","71053","WHITE METAL LANTERN","2","2011-04-23 11:22:00","3.69","12583.0","France","EMEA"
"537379","84029E","RED WOOLLY HOTTIE WHITE HEART","9","2011-04-23 11:22:00","3.67","12583.0","France","EMEA"
"537379","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2011-04-23 11:22:00","3.66","12583.0","France","EMEA"
"537380","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2011-04-04 12:25:00","2.45","17809.0","United Kingdom","EMEA"
"537380","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-04-04 12:25:00","3.49","17809.0","United Kingdom","EMEA"
"537380","20685","DOORMAT RED RETROSPOT","2","2011-04-04 12:25:00","7.27","17809.0","United Kingdom","EMEA"
"537381","71053","WHITE METAL LANTERN","1","2011-03-29 10:27:00","3.61","13047.0","EIRE","EMEA"
"537381","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-03-29 10:27:00","3.53","13047.0","EIRE","EMEA"
"537381","85099B","JUMBO BAG RED RETROSPOT","2","2011-03-29 10:27:00","2.0","13047.0","EIRE","EMEA"
"537382","84406B","CREAM CUPID HEARTS COAT HANGER","7","2011-03-26 09:49:00","2.85","16029.0","Australia","APAC"
"537382","22632","HAND WARMER RED POLKA DOT","9","2011-03-26 09:49:00","2.18","16029.0","Australia","APAC"
"537383","22752","SET 7 BABUSHKA NESTING BOXES","4","2011-03-22 16:52:00","8.08","17809.0","Australia","APAC"
"537383","47566","PARTY BUNTING","10","2011-03-22 16:52:00","5.25","17809.0","Australia","APAC"
"537383","22632","HAND WARMER RED POLKA DOT","9","2011-03-22 16:52:00","2.25","17809.0","Australia","APAC"
"537384","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-04-10 08:39:00","4.2","15291.0","Belgium","EMEA"
"537384","47566","PARTY BUNTING","9","2011-04-10 08:39:00","5.42","15291.0","Belgium","EMEA"
"537385","22633","HAND WARMER UNION JACK","4","2011-03-19 12:45:00","2.22","13777.0","USA","AMER"
"537385","71053","WHITE METAL LANTERN","8","2011-03-19 12:45:00","3.67","13777.0","USA","AMER"
"537385","22632","HAND WARMER RED POLKA DOT","6","2011-03-19 12:45:00","1.93","13777.0","USA","AMER"
"537386","21730","GLASS STAR FROSTED T-LIGHT HOLDER","1","2011-04-29 15:01:00","4.46","13777.0","Spain","EMEA"
"537386","85099B","JUMBO BAG RED RETROSPOT","6","2011-04-29 15:01:00","1.99","13777.0","Spain","EMEA"
"537387","22752","SET 7 BABUSHKA NESTING BOXES","7","2011-03-20 16:50:00","7.72","15311.0","USA","AMER"
"537387","20685","DOORMAT RED RETROSPOT","4","2011-03-20 16:50:00","7.54","15311.0","USA","AMER"
"537387","22633","HAND WARMER UNION JACK","12","2011-03-20 16:50:00","1.97","15311.0","USA","AMER"
"537388","22633","HAND WARMER UNION JACK","8","2011-03-28 13:09:00","1.78","17809.0","Germany","EMEA"
"537389","47566","PARTY BUNTING","10","2011-03-11 14:25:00","5.17","14096.0","Netherlands","EMEA"
"537390","47566","PARTY BUNTING","3","2011-03-09 15:51:00","4.87","17809.0","United Kingdom","EMEA"
"537390","22632","HAND WARMER RED POLKA DOT","6","2011-03-09 15:51:00","1.9","17809.0","United Kingdom","EMEA"
"537390","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","2","2011-03-09 15:51:00","3.54","17809.0","United Kingdom","EMEA"
"537391","84029E","RED WOOLLY HOTTIE WHITE HEART","10","2011-03-26 14:40:00","3.76","17850.0","Belgium","EMEA"
"537391","84406B","CREAM CUPID HEARTS COAT HANGER","4","2011-03-26 14:40:00","2.94","17850.0","Belgium","EMEA"
"537392","20685","DOORMAT RED RETROSPOT","4","2011-04-02 16:12:00","7.12","15311.0","USA","AMER"
"537392","71053","WHITE METAL LANTERN","5","2011-04-02 16:12:00","3.64","15311.0","USA","AMER"
"537393","22752","SET 7 BABUSHKA NESTING BOXES","10","2011-04-24 12:32:00","7.96","17809.0","France","EMEA"
"537393","22632","HAND WARMER RED POLKA DOT","11","2011-04-24 12:32:00","1.85","17809.0","France","EMEA"
"537393","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-04-24 12:32:00","2.71","17809.0","France","EMEA"
"537394","20685","DOORMAT RED RETROSPOT","2","2011-04-01 15:58:00","7.0","14606.0","EIRE","EMEA"
"537394","85123A","WHITE HANGING HEART T-LIGHT HOLDER","1","2011-04-01 15:58:00","2.54","14606.0","EIRE","EMEA"
"537395","84406B","CREAM CUPID HEARTS COAT HANGER","12","2011-03-03 08:13:00","2.9","17850.0","Germany","EMEA"
"537395","21730","GLASS STAR FROSTED T-LIGHT HOLDER","2","2011-03-03 08:13:00","4.43","17850.0","Germany","EMEA"
"537395","85123A","WHITE HANGING HEART T-LIGHT HOLDER","9","2011-03-03 08:13:00","2.88","17850.0","Germany","EMEA"
"537396","84406B","CREAM CUPID HEARTS COAT HANGER","8","2011-04-14 09:25:00","3.07","14606.0","Spain","EMEA"
"537396","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-04-14 09:25:00","4.15","14606.0","Spain","EMEA"
"537397","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-04-29 10:22:00","2.54","14606.0","Canada","AMER"
"537397","47566","PARTY BUNTING","2","2011-04-29 10:22:00","5.07","14606.0","Canada","AMER"
"537397","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-04-29 10:22:00","3.41","14606.0","Canada","AMER"
"537398","22633","HAND WARMER UNION JACK","7","2011-03-31 09:37:00","2.2","12583.0","Canada","AMER"
"537398","71053","WHITE METAL LANTERN","7","2011-03-31 09:37:00","3.39","12583.0","Canada","AMER"
"537399","71053","WHITE METAL LANTERN","11","2011-03-14 16:01:00","3.32","15311.0","Canada","AMER"
"537400","84029E","RED WOOLLY HOTTIE WHITE HEART","5","2011-03-29 15:48:00","3.53","13047.0","United Kingdom","EMEA"
"537400","22632","HAND WARMER RED POLKA DOT","4","2011-03-29 15:48:00","1.93","13047.0","United Kingdom","EMEA"
"537401","20685","DOORMAT RED RETROSPOT","6","2011-04-06 09:31:00","6.99","14606.0","Belgium","EMEA"
"537401","22632","HAND WARMER RED POLKA DOT","4","2011-04-06 09:31:00","1.81","14606.0","Belgium","EMEA"
"537401","84406B","CREAM CUPID HEARTS COAT HANGER","4","2011-04-06 09:31:00","2.78","14606.0","Belgium","EMEA"
"537402","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-04-08 15:24:00","3.15","14606.0","EIRE","EMEA"
"537402","84029E","RED WOOLLY HOTTIE WHITE HEART","2","2011-04-08 15:24:00","3.67","14606.0","EIRE","EMEA"
"537403","71053","WHITE METAL LANTERN","7","2011-03-23 09:19:00","3.46","13777.0","EIRE","EMEA"
"537403","20685","DOORMAT RED RETROSPOT","12","2011-03-23 09:19:00","7.23","13777.0","EIRE","EMEA"
