"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","PromoCode"
"538365","22632","HAND WARMER RED POLKA DOT","11","2011-01-19 09:53:00","2.21","12583.0","Netherlands","SUMMER10"
"538365","22632","HAND WARMER RED POLKA DOT","12","2011-01-19 09:53:00","2.28","12583.0","Netherlands",""
"538365","22752","SET 7 BABUSHKA NESTING BOXES","5","2011-01-19 09:53:00","8.04","12583.0","Netherlands",""
"538366","22632","HAND WARMER RED POLKA DOT","4","2011-01-04 15:04:00","1.86","14606.0","EIRE",""
"538366","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-01-04 15:04:00","2.85","14606.0","EIRE",""
"538366","20685","DOORMAT RED RETROSPOT","2","2011-01-04 15:04:00","7.51","14606.0","EIRE","SUMMER10"
"538366","47566","PARTY BUNTING","10","2011-01-04 15:04:00","5.15","14606.0","EIRE",""
"538367","20685","DOORMAT RED RETROSPOT","12","2010-12-27 09:38:00","7.52","13777.0","France","NEWCUST"
"538367","22632","HAND WARMER RED POLKA DOT","1","2010-12-27 09:38:00","1.85","13777.0","France",""
"538367","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-27 09:38:00","2.81","13777.0","France",""
"538368","22752","SET 7 BABUSHKA NESTING BOXES","12","2011-01-27 12:13:00","7.56","12583.0","Spain",""
"538369","85099B","JUMBO BAG RED RETROSPOT","7","2010-12-23 11:38:00","2.08","15291.0","Spain","BULK5"
"538370","85099B","JUMBO BAG RED RETROSPOT","4","2010-12-11 12:39:00","1.72","16029.0","Netherlands","BULK5"
"538371","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","1","2011-01-19 15:28:00","3.55","17809.0","France",""
"538371","22752","SET 7 BABUSHKA NESTING BOXES","6","2011-01-19 15:28:00","7.93","17809.0","France",""
"538371","71053","WHITE METAL LANTERN","11","2011-01-19 15:28:00","3.64","17809.0","France","SUMMER10"
"538371","22632","HAND WARMER RED POLKA DOT","1","2011-01-19 15:28:00","1.98","17809.0","France","NEWCUST"
"538372","47566","PARTY BUNTING","8","2011-01-05 15:54:00","5.11","17809.0","France",""
"538372","84406B","CREAM CUPID HEARTS COAT HANGER","6","2011-01-05 15:54:00","3.04","17809.0","France",""
